Designator,Mid X,Mid Y,Rotation,Layer
C1,106.4,-17.075,270,top
C1_10,40.4,-17.075,270,top
C1_11,40.4,-83.075,270,top
C1_12,84.4,-83.075,270,top
C1_13,18.4,-39.075,270,top
C1_14,40.4,-61.075,270,top
C1_15,18.4,-17.075,270,top
C1_16,84.4,-61.075,270,top
C1_17,106.4,-61.075,270,top
C1_18,84.4,-17.075,270,top
C1_19,62.4,-39.075,270,top
C1_2,18.4,-83.075,270,top
C1_20,62.4,-61.075,270,top
C1_3,18.4,-61.075,270,top
C1_4,62.4,-83.075,270,top
C1_5,106.4,-83.075,270,top
C1_6,40.4,-39.075,270,top
C1_7,84.4,-39.075,270,top
C1_8,106.4,-39.075,270,top
C1_9,62.4,-17.075,270,top
R10,33.4,-80.775,270,top
R10_10,99.4,-14.775,270,top
R10_11,77.4,-58.775,270,top
R10_12,77.4,-80.775,270,top
R10_13,11.4,-58.775,270,top
R10_14,11.4,-14.775,270,top
R10_15,99.4,-58.775,270,top
R10_16,99.4,-80.775,270,top
R10_17,77.4,-36.775,270,top
R10_18,11.4,-80.775,270,top
R10_19,33.4,-58.775,270,top
R10_2,55.4,-58.775,270,top
R10_20,99.4,-36.775,270,top
R10_3,55.4,-14.775,270,top
R10_4,77.4,-14.775,270,top
R10_5,55.4,-80.775,270,top
R10_6,33.4,-14.775,270,top
R10_7,11.4,-36.775,270,top
R10_8,55.4,-36.775,270,top
R10_9,33.4,-36.775,270,top
R12,13.4,-14.775,270,top
R12_10,79.4,-14.775,270,top
R12_11,101.4,-58.775,270,top
R12_12,35.4,-14.775,270,top
R12_13,35.4,-58.775,270,top
R12_14,13.4,-80.775,270,top
R12_15,57.4,-36.775,270,top
R12_16,79.4,-58.775,270,top
R12_17,101.4,-14.775,270,top
R12_18,35.4,-36.775,270,top
R12_19,57.4,-58.775,270,top
R12_2,57.4,-14.775,270,top
R12_20,35.4,-80.775,270,top
R12_3,101.4,-36.775,270,top
R12_4,13.4,-58.775,270,top
R12_5,79.4,-80.775,270,top
R12_6,79.4,-36.775,270,top
R12_7,57.4,-80.775,270,top
R12_8,101.4,-80.775,270,top
R12_9,13.4,-36.775,270,top
